case_id,PSNR_eq9,SSIM_eq9,PSNR_deepdrr,SSIM_deepdrr
LIDC-IDRI-0099,12.780363410938625,0.591270345188385,14.13221081120464,0.7608745699820895
LIDC-IDRI-0297,13.126145076069456,0.6058369480731445,14.279587182197893,0.7642924901855722
LIDC-IDRI-0186,13.142906431839634,0.5970969967155801,15.210925513959026,0.7842583007584808
LIDC-IDRI-0151,12.218272234192897,0.6532510271383797,12.66328065293462,0.6771097006424381
LIDC-IDRI-0284,11.991363319294685,0.5686189824967289,12.968968991412995,0.7502095731187187
LIDC-IDRI-0041,12.920674680227982,0.5994768702078709,13.519185738392785,0.7514438893448252
LIDC-IDRI-0194,12.594360827400031,0.5857970885507809,13.104495841488022,0.7588881102700861
LIDC-IDRI-0064,12.073922374352769,0.5934397269288905,13.158993315230454,0.7315132802504858
LIDC-IDRI-0276,12.1470398085914,0.6048981552147571,14.171140635520597,0.7469005695536088
LIDC-IDRI-0236,12.730311142628194,0.614482153097688,14.32018592668257,0.7555502986571874
LIDC-IDRI-0023,12.287613147287022,0.5790247413594524,13.362656791058761,0.7646635708793905
LIDC-IDRI-0136,11.244273798801688,0.5919494341675727,11.767369177195253,0.6923850614934318
LIDC-IDRI-0177,12.038183344186882,0.5841101820747742,13.041985308245279,0.7390009117232967
LIDC-IDRI-0184,13.645426040078215,0.6191973376793829,17.401133855548757,0.7882252023030766
LIDC-IDRI-0050,12.801469360632247,0.6141806994252507,14.979937947768047,0.7562806945630917
LIDC-IDRI-0195,13.525013090047132,0.6384903798265824,14.947733902748421,0.7468999842602058
LIDC-IDRI-0337,12.271107753686145,0.6161587290885858,13.951917563925065,0.739767718169719
LIDC-IDRI-0344,12.702726396673082,0.5892010623338142,13.377966537389117,0.7510100516748367
LIDC-IDRI-0173,12.477085913456936,0.6025653158403047,13.110504500233855,0.7403149705970903
LIDC-IDRI-0111,12.894421813192016,0.6145120653497126,14.2876494448125,0.7548633236001883
LIDC-IDRI-0080,13.23959883224328,0.6045983251274046,15.828001730073291,0.7826120806580544
LIDC-IDRI-0324,12.989106050942336,0.6032350521771505,13.76077536921764,0.7504908800527955
LIDC-IDRI-0175,12.637072126765753,0.5959672421237574,14.130258516284925,0.7630240067885666
LIDC-IDRI-0340,12.54785992315573,0.568724785258974,13.34126149138065,0.7657959309059873
LIDC-IDRI-0082,12.742169557353979,0.5872638618169078,13.5060991936292,0.7604544736838463
LIDC-IDRI-0004,12.223886516083502,0.5811932619150222,13.659945971259774,0.7519157282199522
LIDC-IDRI-0143,13.27780503847573,0.6053451316191176,17.515155117374274,0.7977536052443411
LIDC-IDRI-0303,11.634754209837592,0.5735172627497809,12.722294086062407,0.7270776566698266
LIDC-IDRI-0230,12.865205813255505,0.6234987816351932,14.797819861274142,0.7548878700486991
LIDC-IDRI-0113,12.644414325420177,0.5925458486307036,13.030128871536153,0.7513538507583647
LIDC-IDRI-0215,12.582227593610373,0.6062255337101169,14.294594914354285,0.7546760862281717
LIDC-IDRI-0343,13.349381768851114,0.6068744765170446,14.679965202248153,0.7672566752403903
LIDC-IDRI-0102,12.825031946080259,0.6128004539560259,13.270189288886398,0.7252670058628912
LIDC-IDRI-0289,12.724534849102367,0.5845803773695236,13.178159225788162,0.747448599777343
LIDC-IDRI-0014,13.709601617357842,0.6170445144373037,17.16571898625886,0.7946131794694007
LIDC-IDRI-0310,13.3387460267225,0.6157848309140435,15.189070613594332,0.7758470672678877
LIDC-IDRI-0260,13.429905872989433,0.6088990416754257,16.74845899330115,0.7906251916289903
LIDC-IDRI-0120,12.662341127088117,0.5870922494570174,13.25796322554432,0.7505680177299632
LIDC-IDRI-0112,13.200214062941267,0.6070158322535045,15.804027165578452,0.7804404625874972
LIDC-IDRI-0048,12.92151384070313,0.5793890291528533,13.15612269477186,0.7594003115925313
LIDC-IDRI-0016,13.322290775739587,0.6099219843915156,17.88717702696498,0.7905008716170132
LIDC-IDRI-0017,12.49705487013399,0.5702987728207154,13.545698401956932,0.7667072558519061
LIDC-IDRI-0217,12.803662081662498,0.584277241425819,13.827483075242348,0.7679007725688372
LIDC-IDRI-0304,12.63576193438909,0.58672219873517,13.168138854470453,0.7528005845214817
LIDC-IDRI-0045,12.938990727888644,0.5959939792174902,15.633713169654879,0.7875252131644385
LIDC-IDRI-0281,12.48426655743281,0.6144196608909105,14.505719203513369,0.7431758817813416
LIDC-IDRI-0053,13.879620968181863,0.6260170122925018,17.872496255487714,0.7900263475625754
LIDC-IDRI-0072,11.922967720258839,0.5789755410040218,12.54355003695995,0.735975795145058
LIDC-IDRI-0115,14.010574668282064,0.6179682205639143,17.46661708150449,0.7894802570271114
LIDC-IDRI-0126,12.76980033736795,0.6129707056066361,13.632511595822503,0.7438808842176233
LIDC-IDRI-0141,13.288871227875031,0.6220153361934819,15.812093496966424,0.7768224410702005
LIDC-IDRI-0013,13.563386408673622,0.603807570008206,14.58449676724543,0.7724532579257887
LIDC-IDRI-0058,13.027842372298355,0.6104521501516273,14.107207261038479,0.7515780441803147
LIDC-IDRI-0329,13.357560542376065,0.6194586273347308,17.65187128570706,0.7879731299394518
